,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Maximum allowed speed of current road (km/h),GPS speed (km/h) [same as in RAW GPS]],class,Driver
0,8.83,64.5,40.512924,-3.404577,-0.032,-0.0,0.022,0.008,-1.535,0.0289999999999999,0.023,60.0,61.7,normal,D1
1,9.82,63.6,40.513065000000005,-3.4046800000000004,0.0289999999999999,-0.005,0.0,-0.006,-1.523,0.022,0.025,60.0,61.7,normal,D1
2,10.8,62.2,40.51321,-3.404772,-0.033,-0.013,0.05,0.036,-1.518,0.035,0.037,60.0,61.7,normal,D1
3,11.8,60.9,40.513348,-3.404868,0.0559999999999999,0.017,0.071,0.065,-1.533,0.018,0.048,60.0,61.7,normal,D1
4,12.82,61.2,40.513477,-3.404971,0.026,-0.0579999999999999,0.0409999999999999,0.042,-1.56,0.022,0.06,60.0,61.7,normal,D1
5,13.81,61.7,40.513615,-3.4050800000000003,0.002,-0.012,0.0139999999999999,0.018,-1.5759999999999998,0.039,0.087,60.0,61.7,normal,D1
6,14.84,64.3,40.513741,-3.405192,-0.01,-0.009,0.02,0.025,-1.567,0.059,0.1009999999999999,60.0,61.7,normal,D1
7,15.82,66.8,40.513882,-3.4053150000000003,-0.01,-0.023,0.013,0.017,-1.589,0.0289999999999999,0.103,60.0,61.7,normal,D1
8,16.83,68.9,40.514019,-3.405443,-0.0,0.0139999999999999,0.004,0.0069999999999999,-1.592,0.02,0.099,60.0,68.9,normal,D1
9,17.81,71.4,40.514164,-3.405575,0.0289999999999999,0.033,-0.002,0.002,-1.595,0.005,0.088,60.0,68.9,normal,D1
10,18.8,73.5,40.514317,-3.4057160000000004,-0.012,0.018,-0.054,-0.047,-1.574,-0.004,0.075,60.0,71.4,normal,D1
11,19.82,73.5,40.514465,-3.405856,-0.053,0.0139999999999999,-0.008,-0.017,-1.564,0.001,0.062,60.0,73.5,normal,D1
12,20.8,73.8,40.514614,-3.405996,-0.065,0.002,-0.003,0.0,-1.587,-0.0279999999999999,0.054,60.0,73.5,normal,D1
13,21.83,75.7,40.514771,-3.406132,0.002,-0.043,0.001,0.001,-1.5930000000000002,-0.031,0.0579999999999999,60.0,73.8,normal,D1
14,22.88,78.0,40.515102,-3.406422,-0.005,-0.081,0.006,-0.006,-1.588,-0.003,0.098,60.0,75.7,normal,D1
15,23.89,78.3,40.515263,-3.4065830000000004,0.032,-0.025,0.002,-0.004,-1.588,0.017,0.144,100.0,78.3,aggressive,D1
16,24.89,79.2,40.515411,-3.406743,0.003,0.083,-0.001,0.002,-1.592,0.005,0.153,100.0,78.3,aggressive,D1
17,25.82,79.2,40.515411,-3.406743,-0.044,0.09,0.001,0.006,-1.596,-0.04,0.127,100.0,78.3,aggressive,D1
18,26.82,80.1,40.515564000000005,-3.406911,0.078,0.031,0.013,0.009,-1.598,-0.077,0.067,100.0,78.3,normal,D1
19,27.82,80.5,40.515736,-3.407051,-0.018,-0.01,0.047,0.034,-1.6030000000000002,-0.067,0.039,100.0,78.3,normal,D1
20,28.81,82.0,40.515903,-3.4072,-0.048,-0.036,0.039,0.034,-1.629,-0.059,0.03,100.0,92.7,normal,D1
21,29.84,84.4,40.516090000000005,-3.40734,-0.076,-0.059,0.033,0.02,-1.656,-0.022,0.038,100.0,92.7,normal,D1
22,30.83,86.1,40.516262,-3.4074910000000003,0.004,0.025,-0.004,-0.0139999999999999,-1.656,0.008,0.067,100.0,92.7,normal,D1
23,31.82,92.7,40.516453000000006,-3.407653,-0.0409999999999999,0.0069999999999999,-0.005,-0.01,-1.648,-0.009,0.077,100.0,92.7,normal,D1
24,32.81,94.6,40.516651,-3.407831,0.008,0.0289999999999999,-0.025,-0.012,-1.642,-0.032,0.077,100.0,94.6,normal,D1
25,33.9,99.2,40.51704,-3.408188,0.019,0.012,-0.072,-0.079,-1.5930000000000002,-0.043,0.076,100.0,94.6,normal,D1
26,34.85,99.2,40.51704,-3.408188,0.012,-0.009,0.01,0.013,-1.582,-0.04,0.076,100.0,99.2,normal,D1
27,35.83,98.7,40.517246,-3.408372,-0.011,-0.043,0.008,0.013,-1.59,0.001,0.096,100.0,98.7,normal,D1
28,36.82,99.8,40.517445,-3.408561,-0.063,0.0069999999999999,0.001,0.004,-1.594,0.015,0.119,100.0,98.7,normal,D1
29,37.85,101.1,40.517643,-3.408758,0.024,0.0289999999999999,-0.001,0.001,-1.601,-0.025,0.119,100.0,98.7,normal,D1
30,38.9,104.7,40.518063,-3.4091690000000003,-0.0279999999999999,0.046,-0.008,-0.006,-1.601,-0.0289999999999999,0.113,100.0,98.7,normal,D1
31,39.81,104.7,40.518063,-3.4091690000000003,0.033,0.032,0.021,0.0139999999999999,-1.6030000000000002,-0.025,0.106,100.0,107.1,normal,D1
32,40.8,106.3,40.518272,-3.409384,-0.024,-0.076,-0.003,-0.001,-1.599,-0.009,0.102,100.0,107.1,normal,D1
33,41.81,107.1,40.51849,-3.409592,0.0279999999999999,0.018,-0.004,-0.005,-1.597,0.015,0.106,100.0,107.1,normal,D1
34,42.81,108.7,40.518681,-3.409816,0.057,0.023,0.009,0.003,-1.594,0.001,0.099,100.0,107.1,normal,D1
35,43.8,109.3,40.518906,-3.410023,-0.059,-0.002,0.011,0.003,-1.584,-0.012,0.091,100.0,109.3,normal,D1
36,44.8,109.9,40.519127000000005,-3.410235,0.043,-0.002,-0.001,-0.009,-1.577,-0.0069999999999999,0.086,100.0,109.3,normal,D1
37,45.8,110.5,40.519344,-3.410446,0.005,0.004,-0.015,-0.008,-1.5730000000000002,-0.008,0.086,100.0,109.3,normal,D1
38,46.81,114.8,40.519577000000005,-3.41066,0.025,0.026,-0.0069999999999999,-0.001,-1.5659999999999998,-0.003,0.089,100.0,114.8,normal,D1
39,47.8,111.2,40.519798,-3.410874,-0.016,0.025,-0.001,-0.004,-1.5590000000000002,-0.005,0.09,100.0,114.8,normal,D1
40,48.83,110.9,40.52002,-3.411085,-0.044,0.006,0.004,0.002,-1.56,-0.04,0.074,100.0,110.9,normal,D1
41,49.8,112.3,40.520237,-3.411296,0.01,-0.011,0.004,0.011,-1.564,-0.044,0.06,100.0,110.9,normal,D1
42,50.85,110.9,40.520458000000005,-3.411503,0.011,-0.0289999999999999,0.005,-0.004,-1.57,-0.018,0.0579999999999999,100.0,110.9,normal,D1
43,51.81,111.1,40.520683,-3.411703,-0.057,-0.065,-0.045,-0.047,-1.5530000000000002,0.006,0.067,100.0,110.9,normal,D1
44,52.8,110.4,40.520901,-3.4119050000000004,0.039,-0.018,0.001,-0.008,-1.541,0.032,0.0819999999999999,100.0,110.9,normal,D1
45,53.8,109.1,40.52113,-3.412107,0.094,0.013,0.027,0.015,-1.536,0.02,0.088,100.0,106.9,normal,D1
46,54.8,107.2,40.521347,-3.412303,-0.019,0.004,0.0409999999999999,0.03,-1.547,0.012,0.09,100.0,106.9,normal,D1
47,55.8,106.9,40.521572,-3.412506,-0.023,0.004,0.017,0.01,-1.5659999999999998,0.012,0.09,100.0,106.9,normal,D1
48,56.9,107.5,40.522015,-3.412914,-0.02,-0.006,-0.0069999999999999,-0.0,-1.578,0.017,0.096,100.0,106.9,normal,D1
49,57.81,107.5,40.522015,-3.412914,-0.081,-0.038,-0.01,-0.016,-1.5830000000000002,0.015,0.102,100.0,107.5,normal,D1
50,58.81,107.5,40.522232,-3.413118,-0.079,-0.035,-0.026,-0.005,-1.589,0.006,0.115,100.0,107.5,normal,D1
51,59.87,104.5,40.522457,-3.4132839999999995,0.024,-0.038,-0.008,-0.003,-1.592,0.036,0.15,100.0,107.5,normal,D1
52,60.84,107.5,40.522667,-3.413532,-0.032,-0.034,-0.035,-0.022,-1.589,0.044,0.187,100.0,107.5,normal,D1
53,61.81,107.6,40.522877,-3.4137470000000003,0.044,-0.002,-0.004,-0.001,-1.582,0.031,0.226,100.0,107.6,normal,D1
54,62.83,107.6,40.523075,-3.413988,-0.03,0.002,-0.002,0.0069999999999999,-1.58,0.036,0.265,100.0,107.6,normal,D1
55,63.82,107.3,40.52327,-3.4142330000000003,-0.009,-0.0289999999999999,0.006,0.0139999999999999,-1.584,0.026,0.299,100.0,107.6,normal,D1
56,64.83,107.7,40.523457,-3.414495,0.024,0.004,0.032,0.016,-1.5830000000000002,0.032,0.337,100.0,107.6,normal,D1
57,65.86,107.3,40.523636,-3.4147550000000004,0.024,-0.047,0.0289999999999999,0.012,-1.591,0.031,0.372,100.0,108.3,normal,D1
58,66.83,108.8,40.523804,-3.415022,0.001,0.005,-0.04,-0.005,-1.5930000000000002,0.047,0.406,100.0,108.3,normal,D1
59,67.82,110.1,40.523956,-3.415304,0.001,0.039,-0.049,-0.045,-1.5519999999999998,0.03,0.43,100.0,108.3,normal,D1
60,68.8,108.3,40.52412,-3.415602,0.038,0.006,-0.022,-0.017,-1.519,0.024,0.451,100.0,108.3,normal,D1
61,69.81,106.2,40.524269,-3.415896,-0.044,-0.003,-0.0069999999999999,-0.013,-1.506,0.022,0.472,100.0,108.3,normal,D1
62,70.84,104.4,40.524403,-3.416199,0.018,-0.002,-0.005,-0.0069999999999999,-1.5,0.03,0.496,100.0,104.4,normal,D1
63,71.92,101.3,40.524624,-3.416811,0.012,-0.001,-0.009,-0.009,-1.495,0.035,0.523,100.0,104.4,normal,D1
64,72.84,101.3,40.524624,-3.416811,0.039,0.035,0.016,0.0139999999999999,-1.491,0.025,0.541,100.0,101.3,normal,D1
65,73.82,99.7,40.524719,-3.417124,0.079,-0.003,0.026,0.027,-1.494,0.035,0.547,100.0,101.3,normal,D1
66,74.84,99.1,40.524803000000006,-3.417439,-0.023,0.068,0.011,0.0069999999999999,-1.503,0.035,0.546,100.0,99.7,normal,D1
67,75.82,98.6,40.524868,-3.417746,0.016,0.031,0.006,0.018,-1.508,0.013,0.528,100.0,99.7,normal,D1
68,76.81,98.1,40.52494,-3.418057,0.031,0.08,-0.018,-0.017,-1.5019999999999998,0.013,0.514,100.0,99.7,normal,D1
69,77.81,97.9,40.524998,-3.418366,-0.016,0.039,-0.006,-0.01,-1.494,0.019,0.481,100.0,99.7,normal,D1
70,78.8,96.1,40.525063,-3.4186690000000004,0.011,0.017,0.001,0.015,-1.493,0.025,0.4539999999999999,100.0,99.7,normal,D1
71,79.82,95.7,40.525131,-3.418975,-0.003,0.049,-0.051,-0.046,-1.473,0.013,0.422,100.0,99.7,normal,D1
72,80.8,94.9,40.525196,-3.419267,-0.016,0.045,0.023,0.025,-1.491,0.0,0.384,100.0,99.7,normal,D1
73,81.8,93.1,40.525257,-3.419561,0.052,0.073,-0.042,-0.026,-1.506,-0.0139999999999999,0.3379999999999999,100.0,99.7,normal,D1
74,82.82,92.1,40.525326,-3.419853,-0.0,0.0139999999999999,0.023,0.015,-1.492,-0.038,0.2739999999999999,100.0,87.5,normal,D1
75,83.89,89.3,40.525490000000005,-3.420415,-0.051,-0.013,0.018,0.008,-1.5119999999999998,-0.009,0.2339999999999999,100.0,87.5,normal,D1
76,84.81,89.3,40.525490000000005,-3.420415,0.009,0.027,-0.008,0.002,-1.516,-0.022,0.1889999999999999,100.0,87.5,normal,D1
77,85.88,89.0,40.525677,-3.4209440000000004,-0.038,0.088,0.001,-0.0139999999999999,-1.526,-0.034,0.151,100.0,87.5,normal,D1
78,86.92,87.9,40.52578,-3.4211970000000003,0.039,0.012,-0.004,-0.004,-1.5219999999999998,-0.039,0.105,100.0,87.5,normal,D1
79,87.82,87.9,40.52578,-3.4211970000000003,-0.013,0.06,-0.009,-0.0069999999999999,-1.5219999999999998,-0.0559999999999999,0.05,100.0,87.5,normal,D1
80,88.82,87.5,40.52589,-3.4214480000000003,-0.031,-0.0559999999999999,0.0,-0.004,-1.524,-0.071,-0.003,100.0,87.5,normal,D1
81,89.89,87.1,40.526142,-3.421921,0.004,-0.037,0.001,0.006,-1.5219999999999998,-0.074,-0.054,100.0,87.5,normal,D1
82,90.82,87.1,40.526142,-3.421921,-0.064,-0.054,0.0069999999999999,-0.008,-1.5219999999999998,-0.076,-0.094,90.0,87.1,normal,D1
83,91.81,86.0,40.526268,-3.422138,0.006,-0.051,0.005,0.006,-1.531,-0.064,-0.13,90.0,87.1,normal,D1
84,92.84,85.6,40.526409,-3.422347,-0.03,-0.019,-0.005,-0.006,-1.528,-0.04,-0.166,90.0,86.0,normal,D1
85,93.82,85.5,40.526566,-3.422556,-0.009,0.003,0.002,0.004,-1.529,-0.048,-0.2019999999999999,90.0,85.5,normal,D1
86,94.84,85.0,40.526722,-3.4227480000000003,-0.031,-0.047,0.017,0.011,-1.531,-0.037,-0.22,90.0,85.5,normal,D1
87,95.84,84.8,40.526867,-3.422936,-0.031,0.017,0.011,0.009,-1.535,-0.042,-0.245,90.0,84.8,normal,D1
88,96.86,86.5,40.527031,-3.423129,0.002,-0.032,0.004,0.001,-1.538,-0.05,-0.282,90.0,84.8,normal,D1
89,97.81,86.3,40.527206,-3.423306,0.005,0.0139999999999999,-0.008,-0.006,-1.537,-0.051,-0.312,90.0,86.5,normal,D1
90,98.8,86.3,40.527397,-3.4234440000000004,-0.03,-0.02,-0.027,-0.024,-1.537,-0.054,-0.3339999999999999,90.0,86.3,normal,D1
91,99.8,86.7,40.527588,-3.423585,0.0069999999999999,-0.011,-0.013,-0.013,-1.523,-0.057,-0.351,90.0,86.3,normal,D1
92,100.8,85.7,40.527779,-3.4237300000000004,-0.002,-0.046,-0.005,-0.0,-1.525,-0.057,-0.354,90.0,86.3,normal,D1
93,101.83,85.4,40.527969,-3.423861,-0.001,-0.048,-0.02,-0.01,-1.523,-0.055,-0.355,90.0,86.3,normal,D1
94,102.8,84.6,40.528164,-3.4239910000000005,-0.019,-0.003,-0.013,-0.012,-1.514,-0.035,-0.345,90.0,86.3,normal,D1
95,103.8,84.7,40.528355,-3.424115,-0.019,-0.059,0.004,0.004,-1.508,-0.055,-0.332,90.0,82.2,normal,D1
96,104.89,83.2,40.528721,-3.424363,-0.0069999999999999,-0.03,-0.0,0.002,-1.513,-0.012,-0.3,90.0,82.2,normal,D1
97,105.8,83.2,40.528721,-3.424363,-0.04,0.005,-0.008,-0.006,-1.514,-0.01,-0.273,90.0,82.2,normal,D1
98,106.8,82.2,40.528908,-3.424492,-0.002,-0.03,0.033,0.0279999999999999,-1.518,-0.0279999999999999,-0.248,90.0,82.2,normal,D1
99,107.8,82.4,40.529091,-3.424612,0.127,0.023,0.0289999999999999,0.042,-1.5490000000000002,-0.033,-0.223,90.0,82.2,normal,D1
100,108.85,82.8,40.529278000000005,-3.424732,-0.008,0.005,0.021,0.016,-1.5530000000000002,-0.026,-0.192,90.0,82.4,normal,D1
101,109.8,84.7,40.529465,-3.4248550000000004,-0.021,-0.031,-0.005,0.009,-1.5619999999999998,-0.02,-0.161,90.0,82.4,normal,D1
102,110.8,86.2,40.529648,-3.424988,-0.057,-0.024,0.005,-0.0,-1.567,-0.012,-0.127,90.0,86.2,normal,D1
103,111.8,86.8,40.529835,-3.425131,0.015,0.017,-0.0409999999999999,-0.024,-1.547,-0.001,-0.089,90.0,86.2,normal,D1
104,112.81,88.6,40.530022,-3.4252769999999995,0.05,0.043,-0.024,-0.017,-1.543,0.006,-0.055,90.0,86.8,normal,D1
105,113.8,86.9,40.530201,-3.425436,0.073,-0.011,-0.034,-0.027,-1.536,0.006,-0.023,90.0,86.9,normal,D1
106,114.83,87.8,40.530376,-3.4256010000000003,0.016,0.01,0.032,0.015,-1.529,-0.004,0.025,90.0,86.9,normal,D1
107,115.8,88.2,40.53056,-3.425774,0.0409999999999999,-0.016,0.034,0.026,-1.531,-0.005,0.059,90.0,88.2,normal,D1
108,116.83,87.4,40.530731,-3.4259480000000004,-0.046,0.012,0.024,0.02,-1.538,-0.0139999999999999,0.089,90.0,88.2,normal,D1
109,117.84,88.6,40.530903,-3.426134,-0.0139999999999999,0.0279999999999999,0.004,0.009,-1.557,0.012,0.121,90.0,88.6,normal,D1
110,118.82,89.4,40.531075,-3.4263230000000005,-0.03,0.02,-0.017,-0.025,-1.564,-0.019,0.141,90.0,89.4,normal,D1
111,119.82,91.2,40.531254,-3.426534,-0.02,-0.023,-0.008,-0.008,-1.554,-0.018,0.159,90.0,89.4,normal,D1
112,120.82,90.1,40.531425,-3.426725,-0.027,-0.0,0.001,-0.006,-1.56,0.005,0.187,90.0,89.4,normal,D1
113,121.8,90.6,40.531593,-3.426936,-0.0289999999999999,0.012,-0.033,-0.0289999999999999,-1.5530000000000002,0.0,0.21,90.0,90.6,normal,D1
114,122.81,90.0,40.53175,-3.427156,0.002,0.017,-0.004,-0.0069999999999999,-1.547,0.0,0.2269999999999999,90.0,90.6,normal,D1
115,123.85,89.0,40.531902,-3.427368,-0.033,0.068,0.006,0.006,-1.555,0.005,0.242,90.0,90.6,normal,D1
116,124.81,87.8,40.532051,-3.427585,-0.031,-0.027,-0.037,-0.031,-1.5530000000000002,-0.003,0.255,90.0,87.8,normal,D1
117,125.81,87.2,40.532188,-3.427804,-0.0289999999999999,0.019,-0.011,-0.0069999999999999,-1.546,-0.023,0.271,90.0,87.8,normal,D1
118,126.85,85.8,40.532314,-3.428022,0.004,0.002,0.011,0.023,-1.56,-0.006,0.292,90.0,87.2,normal,D1
119,127.81,83.2,40.532433000000005,-3.4282480000000004,-0.022,0.025,0.01,0.0139999999999999,-1.574,-0.0139999999999999,0.306,90.0,83.2,normal,D1
120,128.86,83.4,40.532539,-3.428477,-0.0279999999999999,0.002,0.034,0.027,-1.595,-0.0289999999999999,0.315,90.0,83.4,normal,D1
121,129.91,84.3,40.532749,-3.428954,0.018,0.011,0.035,0.027,-1.607,-0.03,0.32,90.0,83.4,normal,D1
122,130.87,84.3,40.532749,-3.428954,-0.006,-0.015,0.009,0.03,-1.612,-0.025,0.3289999999999999,90.0,84.3,normal,D1
123,131.82,84.9,40.532879,-3.429204,-0.019,0.022,0.02,0.017,-1.609,-0.024,0.34,90.0,84.3,normal,D1
124,132.8,86.4,40.532986,-3.429445,-0.022,0.025,0.0069999999999999,0.006,-1.618,-0.023,0.346,90.0,86.4,normal,D1
125,133.82,87.0,40.533085,-3.429693,-0.023,-0.006,-0.001,0.0069999999999999,-1.609,-0.017,0.352,90.0,86.4,normal,D1
126,134.82,87.6,40.53318,-3.429959,0.0069999999999999,0.032,-0.001,0.006,-1.604,-0.011,0.363,90.0,88.7,normal,D1
127,135.82,88.7,40.533264,-3.4302010000000003,-0.015,0.019,-0.013,-0.005,-1.605,-0.0139999999999999,0.372,90.0,88.7,normal,D1
128,136.82,89.1,40.533344,-3.43048,-0.0,0.004,0.026,0.008,-1.602,-0.036,0.377,90.0,88.7,normal,D1
129,137.81,88.5,40.533413,-3.430742,0.008,-0.004,0.004,0.005,-1.607,-0.011,0.385,90.0,88.5,normal,D1
130,138.82,88.5,40.533478,-3.431021,-0.0559999999999999,0.022,0.01,0.004,-1.606,-0.006,0.3929999999999999,90.0,88.5,normal,D1
131,139.9,89.7,40.533607,-3.431592,0.006,-0.022,-0.01,-0.0139999999999999,-1.597,-0.006,0.396,90.0,89.7,normal,D1
132,140.8,89.7,40.533607,-3.431592,-0.0069999999999999,-0.005,-0.0559999999999999,-0.059,-1.585,-0.01,0.402,90.0,89.7,normal,D1
133,141.82,88.8,40.533657,-3.431882,0.019,0.012,0.003,0.013,-1.57,-0.013,0.4029999999999999,90.0,88.8,normal,D1
134,142.84,87.0,40.53371,-3.432174,-0.062,0.003,-0.022,-0.006,-1.581,0.006,0.407,90.0,88.8,normal,D1
135,143.83,86.0,40.533749,-3.43246,-0.032,0.011,0.0409999999999999,0.018,-1.579,-0.001,0.416,90.0,87.0,normal,D1
136,144.81,86.2,40.533779,-3.432745,0.001,0.021,0.01,0.017,-1.588,-0.023,0.419,90.0,86.0,normal,D1
137,145.82,85.3,40.533802,-3.4330230000000004,-0.057,-0.032,-0.012,-0.005,-1.598,-0.033,0.413,90.0,86.0,normal,D1
138,146.82,86.6,40.533817,-3.433311,-0.011,-0.002,0.001,0.001,-1.5930000000000002,-0.0279999999999999,0.411,90.0,86.0,normal,D1
139,147.81,85.9,40.533829,-3.4336,-0.008,-0.012,0.025,0.027,-1.596,-0.005,0.407,90.0,86.0,normal,D1
140,148.82,86.0,40.533855,-3.433863,-0.023,0.035,0.0,0.002,-1.601,-0.009,0.401,90.0,87.4,normal,D1
